run_id,event_index,backend_id,proof_type,proof_size_bytes,verification_time_ms,status,error_code
W2-A2-merkle-R01,20,A2-merkle,inclusion,304,0.011010,ok,
W2-A2-merkle-R01,21,A2-merkle,inclusion,373,0.013205,ok,
W2-A2-merkle-R01,22,A2-merkle,inclusion,373,0.013877,ok,
W2-A2-merkle-R01,23,A2-merkle,inclusion,442,0.015955,ok,
W2-A2-merkle-R01,24,A2-merkle,inclusion,304,0.011502,ok,
W2-A2-merkle-R01,25,A2-merkle,inclusion,373,0.013782,ok,
W2-A2-merkle-R01,26,A2-merkle,inclusion,373,0.014210,ok,
W2-A2-merkle-R01,27,A2-merkle,inclusion,442,0.015670,ok,
W3-A1-memory-R01,0,A1-memory,none,0,0.000000,ok,
W3-A1-memory-R01,1,A1-memory,none,0,0.000000,ok,
W3-A1-memory-R01,2,A1-memory,none,0,0.000000,ok,
W3-A1-memory-R01,3,A1-memory,none,0,0.000000,ok,
W3-A1-memory-R01,4,A1-memory,none,0,0.000000,ok,
W3-A1-memory-R01,5,A1-memory,none,0,0.000000,ok,
W3-A1-memory-R01,6,A1-memory,none,0,0.000000,ok,
W3-A1-memory-R01,7,A1-memory,none,0,0.000000,ok,
W3-A1-memory-R01,8,A1-memory,none,0,0.000000,ok,
W3-A1-memory-R01,9,A1-memory,none,0,0.000000,ok,
W3-A1-memory-R01,10,A1-memory,none,0,0.000000,ok,
W3-A1-memory-R01,11,A1-memory,none,0,0.000000,ok,
W3-A1-memory-R01,12,A1-memory,none,0,0.000000,ok,
W3-A1-memory-R01,13,A1-memory,none,0,0.000000,ok,
W3-A1-memory-R01,14,A1-memory,none,0,0.000000,ok,
W3-A1-memory-R01,15,A1-memory,none,0,0.000000,ok,
W3-A1-memory-R01,16,A1-memory,none,0,0.000000,ok,
W3-A1-memory-R01,17,A1-memory,none,0,0.000000,ok,
W3-A1-memory-R01,18,A1-memory,none,0,0.000000,ok,
W3-A1-memory-R01,19,A1-memory,none,0,0.000000,ok,
W3-A1-memory-R01,20,A1-memory,none,0,0.000000,ok,
W3-A1-memory-R01,21,A1-memory,none,0,0.000000,ok,
