run_id,event_index,workload_id,backend_id,repetition,seed,latency_ms,status,error_code,artefact_bytes,receipt_bytes,started_ns,ended_ns
W1-A2-merkle-R02,5,W1,A2-merkle,2,20260002,0.144438,ok,,1025,658,698218912476,698219056914
W1-A2-merkle-R02,6,W1,A2-merkle,2,20260002,0.120192,ok,,1023,658,698219155362,698219275554
W1-A2-merkle-R02,7,W1,A2-merkle,2,20260002,0.122614,ok,,1023,658,698219374503,698219497117
W1-A2-merkle-R02,8,W1,A2-merkle,2,20260002,0.116376,ok,,1023,658,698219591910,698219708286
W1-A2-merkle-R02,9,W1,A2-merkle,2,20260002,0.164107,ok,,1023,659,698219793845,698219957952
W1-A2-merkle-R02,10,W1,A2-merkle,2,20260002,0.153601,ok,,1025,660,698220080697,698220234298
W1-A2-merkle-R02,11,W1,A2-merkle,2,20260002,0.151989,ok,,1023,660,698220344354,698220496343
W1-A2-merkle-R02,12,W1,A2-merkle,2,20260002,0.167793,ok,,1023,660,698220599879,698220767672
W1-A2-merkle-R02,13,W1,A2-merkle,2,20260002,0.201213,ok,,1023,660,698220862235,698221063448
W1-A2-merkle-R02,14,W1,A2-merkle,2,20260002,0.177287,ok,,1023,660,698221187355,698221364642
W2-A1-memory-R01,0,W2,A1-memory,1,20260001,0.076325,ok,,1025,433,698221525845,698221602170
W2-A1-memory-R01,1,W2,A1-memory,1,20260001,0.071408,ok,,1023,433,698221678495,698221749903
W2-A1-memory-R01,2,W2,A1-memory,1,20260001,0.070626,ok,,1023,433,698221828802,698221899428
W2-A1-memory-R01,3,W2,A1-memory,1,20260001,0.084147,ok,,1023,433,698221971777,698222055924
W2-A1-memory-R01,4,W2,A1-memory,1,20260001,0.093971,ok,,1023,433,698222156776,698222250747
W2-A1-memory-R01,5,W2,A1-memory,1,20260001,0.073491,ok,,1025,433,698222329726,698222403217
W2-A1-memory-R01,6,W2,A1-memory,1,20260001,0.069555,ok,,1023,433,698222476347,698222545902
W2-A1-memory-R01,7,W2,A1-memory,1,20260001,0.069856,ok,,1023,433,698222617530,698222687386
W2-A1-memory-R01,8,W2,A1-memory,1,20260001,0.069175,ok,,1023,433,698222758302,698222827477
W2-A1-memory-R01,9,W2,A1-memory,1,20260001,0.070316,ok,,1023,433,698222898644,698222968960
W2-A1-memory-R01,10,W2,A1-memory,1,20260001,0.080561,ok,,1025,433,698223039907,698223120468
W2-A1-memory-R01,11,W2,A1-memory,1,20260001,0.093531,ok,,1023,433,698223210294,698223303825
W2-A1-memory-R01,12,W2,A1-memory,1,20260001,0.070636,ok,,1023,433,698223387391,698223458027
W2-A1-memory-R01,13,W2,A1-memory,1,20260001,0.073371,ok,,1023,433,698223529324,698223602695
W2-A1-memory-R01,14,W2,A1-memory,1,20260001,0.070236,ok,,1023,433,698223673191,698223743427
W2-A1-memory-R01,15,W2,A1-memory,1,20260001,0.068533,ok,,1025,433,698223814144,698223882677
W2-A1-memory-R01,16,W2,A1-memory,1,20260001,0.069075,ok,,1023,433,698223952662,698224021737
W2-A1-memory-R01,17,W2,A1-memory,1,20260001,0.067292,ok,,1023,433,698224091892,698224159184
W2-A1-memory-R01,18,W2,A1-memory,1,20260001,0.103466,ok,,1023,433,698224253095,698224356561
W2-A1-memory-R01,19,W2,A1-memory,1,20260001,0.069044,ok,,1023,433,698224430643,698224499687
W2-A1-memory-R01,20,W2,A1-memory,1,20260001,0.069294,ok,,1025,433,698224571325,698224640619
W2-A1-memory-R01,21,W2,A1-memory,1,20260001,0.068063,ok,,1023,433,698224710765,698224778828
W2-A1-memory-R01,22,W2,A1-memory,1,20260001,0.068824,ok,,1023,433,698224855383,698224924207
W2-A1-memory-R01,23,W2,A1-memory,1,20260001,0.068594,ok,,1023,433,698224993751,698225062345
W2-A1-memory-R01,24,W2,A1-memory,1,20260001,0.069305,ok,,1023,433,698225133011,698225202316
W2-A1-memory-R01,25,W2,A1-memory,1,20260001,0.088644,ok,,1025,433,698225289347,698225377991
W2-A1-memory-R01,26,W2,A1-memory,1,20260001,0.081563,ok,,1023,433,698225457590,698225539153
W2-A1-memory-R01,27,W2,A1-memory,1,20260001,0.072159,ok,,1023,433,698225610781,698225682940
W2-A1-memory-R02,0,W2,A1-memory,2,20260002,0.072259,ok,,1025,433,698225807878,698225880137
W2-A1-memory-R02,1,W2,A1-memory,2,20260002,0.070827,ok,,1023,433,698225961810,698226032637
W2-A1-memory-R02,2,W2,A1-memory,2,20260002,0.070857,ok,,1023,433,698226109353,698226180210
W2-A1-memory-R02,3,W2,A1-memory,2,20260002,0.071187,ok,,1023,433,698226251507,698226322694
W2-A1-memory-R02,4,W2,A1-memory,2,20260002,0.091969,ok,,1023,433,698226417467,698226509436
W2-A1-memory-R02,5,W2,A1-memory,2,20260002,0.071447,ok,,1025,433,698226585100,698226656547
W2-A1-memory-R02,6,W2,A1-memory,2,20260002,0.068493,ok,,1023,433,698226729357,698226797850
W2-A1-memory-R02,7,W2,A1-memory,2,20260002,0.068623,ok,,1023,433,698226870320,698226938943
W2-A1-memory-R02,8,W2,A1-memory,2,20260002,0.068813,ok,,1023,433,698227009059,698227077872
W2-A1-memory-R02,9,W2,A1-memory,2,20260002,0.068473,ok,,1023,433,698227148359,698227216832
W2-A1-memory-R02,10,W2,A1-memory,2,20260002,0.068773,ok,,1025,433,698227287138,698227355911
W2-A1-memory-R02,11,W2,A1-memory,2,20260002,0.101543,ok,,1023,433,698227437074,698227538617
W2-A1-memory-R02,12,W2,A1-memory,2,20260002,0.075985,ok,,1023,433,698227623054,698227699039
W2-A1-memory-R02,13,W2,A1-memory,2,20260002,0.068834,ok,,1023,433,698227771277,698227840111
W2-A1-memory-R02,14,W2,A1-memory,2,20260002,0.073781,ok,,1023,433,698227910387,698227984168
W2-A1-memory-R02,15,W2,A1-memory,2,20260002,0.071778,ok,,1025,433,698228054885,698228126663
W2-A1-memory-R02,16,W2,A1-memory,2,20260002,0.079931,ok,,1023,433,698228196628,698228276559
W2-A1-memory-R02,17,W2,A1-memory,2,20260002,0.069375,ok,,1023,433,698228347566,698228416941
W2-A1-memory-R02,18,W2,A1-memory,2,20260002,0.104567,ok,,1023,433,698228487457,698228592024
W2-A1-memory-R02,19,W2,A1-memory,2,20260002,0.074502,ok,,1023,433,698228672386,698228746888
W2-A1-memory-R02,20,W2,A1-memory,2,20260002,0.068603,ok,,1025,433,698228817895,698228886498
W2-A1-memory-R02,21,W2,A1-memory,2,20260002,0.068744,ok,,1023,433,698228957615,698229026359
W2-A1-memory-R02,22,W2,A1-memory,2,20260002,0.069434,ok,,1023,433,698229104357,698229173791
W2-A1-memory-R02,23,W2,A1-memory,2,20260002,0.067752,ok,,1023,433,698229244257,698229312009
W2-A1-memory-R02,24,W2,A1-memory,2,20260002,0.067792,ok,,1023,433,698229381945,698229449737
W2-A1-memory-R02,25,W2,A1-memory,2,20260002,0.079930,ok,,1025,433,698229519813,698229599743
W2-A1-memory-R02,26,W2,A1-memory,2,20260002,0.077818,ok,,1023,433,698229694826,698229772644
W2-A1-memory-R02,27,W2,A1-memory,2,20260002,0.068544,ok,,1023,433,698229844712,698229913256
W2-A2-merkle-R01,0,W2,A2-merkle,1,20260001,0.083516,ok,,1025,600,698230037102,698230120618
W2-A2-merkle-R01,1,W2,A2-merkle,1,20260001,0.091568,ok,,1023,658,698230217334,698230308902
W2-A2-merkle-R01,2,W2,A2-merkle,1,20260001,0.099600,ok,,1023,658,698230398617,698230498217
W2-A2-merkle-R01,3,W2,A2-merkle,1,20260001,0.115354,ok,,1023,658,698230586400,698230701754
W2-A2-merkle-R01,4,W2,A2-merkle,1,20260001,0.106972,ok,,1023,658,698230820763,698230927735
W2-A2-merkle-R01,5,W2,A2-merkle,1,20260001,0.111648,ok,,1025,658,698231016398,698231128046
W2-A2-merkle-R01,6,W2,A2-merkle,1,20260001,0.123707,ok,,1023,658,698231217631,698231341338
W2-A2-merkle-R01,7,W2,A2-merkle,1,20260001,0.122715,ok,,1023,658,698231432826,698231555541
W2-A2-merkle-R01,8,W2,A2-merkle,1,20260001,0.139340,ok,,1023,658,698231648290,698231787630
W2-A2-merkle-R01,9,W2,A2-merkle,1,20260001,0.141353,ok,,1023,659,698231884977,698232026330
W2-A2-merkle-R01,10,W2,A2-merkle,1,20260001,0.163106,ok,,1025,660,698232124468,698232287574
W2-A2-merkle-R01,11,W2,A2-merkle,1,20260001,0.148864,ok,,1023,660,698232379523,698232528387
W2-A2-merkle-R01,12,W2,A2-merkle,1,20260001,0.154723,ok,,1023,660,698232620376,698232775099
W2-A2-merkle-R01,13,W2,A2-merkle,1,20260001,0.170236,ok,,1023,660,698232882531,698233052767
W2-A2-merkle-R01,14,W2,A2-merkle,1,20260001,0.173692,ok,,1023,660,698233146829,698233320521
W2-A2-merkle-R01,15,W2,A2-merkle,1,20260001,0.189725,ok,,1025,660,698233411959,698233601684
W2-A2-merkle-R01,16,W2,A2-merkle,1,20260001,0.147372,ok,,1023,660,698233697519,698233844891
W2-A2-merkle-R01,17,W2,A2-merkle,1,20260001,0.197938,ok,,1023,660,698233947626,698234145564
W2-A2-merkle-R01,18,W2,A2-merkle,1,20260001,0.193492,ok,,1023,660,698234237793,698234431285
W2-A2-merkle-R01,19,W2,A2-merkle,1,20260001,0.199340,ok,,1023,660,698234528852,698234728192
W2-A2-merkle-R01,20,W2,A2-merkle,1,20260001,0.236707,ok,,1025,660,698234818458,698235055165
W2-A2-merkle-R01,21,W2,A2-merkle,1,20260001,0.423499,ok,,1023,660,698235158791,698235582290
W2-A2-merkle-R01,22,W2,A2-merkle,1,20260001,0.242846,ok,,1023,660,698235721780,698235964626
W2-A2-merkle-R01,23,W2,A2-merkle,1,20260001,0.272030,ok,,1023,660,698236086930,698236358960
W2-A2-merkle-R01,24,W2,A2-merkle,1,20260001,0.237898,ok,,1023,660,698236471300,698236709198
W2-A2-merkle-R01,25,W2,A2-merkle,1,20260001,0.242786,ok,,1025,660,698236812073,698237054859
W2-A2-merkle-R01,26,W2,A2-merkle,1,20260001,0.259230,ok,,1023,660,698237183904,698237443134
W2-A2-merkle-R01,27,W2,A2-merkle,1,20260001,0.278960,ok,,1023,660,698237543716,698237822676
W2-A2-merkle-R02,0,W2,A2-merkle,2,20260002,0.086480,ok,,1025,600,698237994105,698238080585
W2-A2-merkle-R02,1,W2,A2-merkle,2,20260002,0.119029,ok,,1023,658,698238185283,698238304312
W2-A2-merkle-R02,2,W2,A2-merkle,2,20260002,0.094843,ok,,1023,658,698238401278,698238496121
W2-A2-merkle-R02,3,W2,A2-merkle,2,20260002,0.099851,ok,,1023,658,698238587068,698238686919
W2-A2-merkle-R02,4,W2,A2-merkle,2,20260002,0.098168,ok,,1023,658,698238778196,698238876364
W2-A2-merkle-R02,5,W2,A2-merkle,2,20260002,0.111408,ok,,1025,658,698238965178,698239076586
W2-A2-merkle-R02,6,W2,A2-merkle,2,20260002,0.146691,ok,,1023,658,698239171309,698239318000
W2-A2-merkle-R02,7,W2,A2-merkle,2,20260002,0.128924,ok,,1023,658,698239424941,698239553865
W2-A2-merkle-R02,8,W2,A2-merkle,2,20260002,0.115735,ok,,1023,658,698239650120,698239765855
W2-A2-merkle-R02,9,W2,A2-merkle,2,20260002,0.137317,ok,,1023,659,698239852145,698239989462
W2-A2-merkle-R02,10,W2,A2-merkle,2,20260002,0.143306,ok,,1025,660,698240087319,698240230625
W2-A2-merkle-R02,11,W2,A2-merkle,2,20260002,0.179781,ok,,1023,660,698240346610,698240526391
W2-A2-merkle-R02,12,W2,A2-merkle,2,20260002,0.156035,ok,,1023,660,698240623327,698240779362
W2-A2-merkle-R02,13,W2,A2-merkle,2,20260002,0.160412,ok,,1023,660,698240868657,698241029069
W2-A2-merkle-R02,14,W2,A2-merkle,2,20260002,0.167883,ok,,1023,660,698241120847,698241288730
W2-A2-merkle-R02,15,W2,A2-merkle,2,20260002,0.206361,ok,,1025,660,698241390553,698241596914
W2-A2-merkle-R02,16,W2,A2-merkle,2,20260002,0.150317,ok,,1023,660,698241698878,698241849195
W2-A2-merkle-R02,17,W2,A2-merkle,2,20260002,0.185210,ok,,1023,660,698241936676,698242121886
W2-A2-merkle-R02,18,W2,A2-merkle,2,20260002,0.192390,ok,,1023,660,698242212051,698242404441
W2-A2-merkle-R02,19,W2,A2-merkle,2,20260002,0.229846,ok,,1023,660,698242513556,698242743402
W2-A2-merkle-R02,20,W2,A2-merkle,2,20260002,0.221193,ok,,1025,660,698242842752,698243063945
W2-A2-merkle-R02,21,W2,A2-merkle,2,20260002,0.222716,ok,,1023,660,698243157857,698243380573
W2-A2-merkle-R02,22,W2,A2-merkle,2,20260002,0.257709,ok,,1023,660,698243483988,698243741697
W2-A2-merkle-R02,23,W2,A2-merkle,2,20260002,0.224128,ok,,1023,660,698243846715,698244070843
W2-A2-merkle-R02,24,W2,A2-merkle,2,20260002,0.255315,ok,,1023,660,698244168330,698244423645
W2-A2-merkle-R02,25,W2,A2-merkle,2,20260002,0.287112,ok,,1025,660,698244530556,698244817668
W2-A2-merkle-R02,26,W2,A2-merkle,2,20260002,0.241915,ok,,1023,660,698244914524,698245156439
W2-A2-merkle-R02,27,W2,A2-merkle,2,20260002,0.246201,ok,,1023,660,698245246735,698245492936
W3-A1-memory-R01,0,W3,A1-memory,1,20260001,0.084718,ok,,1025,433,698245666017,698245750735
