run_id,software_status,phase,workload_id,paired_block_id,baseline,baseline_order,order_position,seed,warmup_count,operation_count,process_pid,start_utc,end_utc,process_wall_ms,run_duration_ms,m7_sum_ms,m7_p50_ms,m7_p95_ms,m7_p99_ms,m0_p50_ms,m1_p50_ms,m2_p50_ms,m3_p50_ms,m4_p50_ms,m5_p50_ms,m6_p50_ms,source_fhir_bytes_median,audit_projection_bytes_median,trust_evidence_envelope_bytes_median,complete_portable_envelope_bytes_median,signature_material_bytes_median,receipt_bytes_median,inclusion_proof_bytes_median,total_application_bytes_median,storage_proxy_final_bytes,valid_cases,validation_failures,verification_failures,expected_invalid_cases,expected_invalid_rejections,false_accepts,false_rejects,retry_count,source_sha256,source_digest_preserved,payload_exclusion_findings,passed
route-c-hie-overhead-001,working-branch-pre-v2.2.0,retained,W1-HIE-DISCLOSURE,R004,B2,B0>B2>B1,2,2026172309,8,128,2378,2026-07-23T14:07:54.156Z,2026-07-23T14:07:55.443Z,1594.266722000,1286.987980000,1254.809361000,9.814581000,10.120485000,10.266825000,0.866836000,2.004224000,1.081476000,0.490019000,1.495007000,1.152675000,2.688644000,5131,11858,3148,4347,330,1180,310,21336,215339,128,0,0,1,1,0,0,0,492f77797a39b0a45173455acedda4e67061884b9d5010f7c4ade5c2072c8e44,true,0,true
route-c-hie-overhead-001,working-branch-pre-v2.2.0,retained,W1-HIE-DISCLOSURE,R004,B1,B0>B2>B1,3,2026172309,8,128,2379,2026-07-23T14:07:55.751Z,2026-07-23T14:07:56.132Z,684.691456000,380.767143000,355.177091000,2.772377000,2.879220000,2.992233000,0.802028000,1.967873000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,5131,11858,0,0,0,0,0,16989,0,128,0,0,0,0,0,0,0,492f77797a39b0a45173455acedda4e67061884b9d5010f7c4ade5c2072c8e44,true,0,true
route-c-hie-overhead-001,working-branch-pre-v2.2.0,retained,W1-HIE-DISCLOSURE,R005,B2,B2>B1>B0,1,2026172310,8,128,2380,2026-07-23T14:07:56.442Z,2026-07-23T14:07:57.767Z,1633.228542000,1325.344955000,1292.597451000,10.102048000,10.386831000,10.541925000,0.907078000,2.084494000,1.084404000,0.512716000,1.521626000,1.223025000,2.752949000,5131,11858,3148,4347,330,1180,310,21336,215339,128,0,0,1,1,0,0,0,492f77797a39b0a45173455acedda4e67061884b9d5010f7c4ade5c2072c8e44,true,0,true
route-c-hie-overhead-001,working-branch-pre-v2.2.0,retained,W1-HIE-DISCLOSURE,R005,B1,B2>B1>B0,2,2026172310,8,128,2381,2026-07-23T14:07:58.075Z,2026-07-23T14:07:58.454Z,682.105697000,379.045068000,353.953540000,2.761010000,2.880071000,3.019503000,0.801087000,1.962175000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,5131,11858,0,0,0,0,0,16989,0,128,0,0,0,0,0,0,0,492f77797a39b0a45173455acedda4e67061884b9d5010f7c4ade5c2072c8e44,true,0,true
route-c-hie-overhead-001,working-branch-pre-v2.2.0,retained,W1-HIE-DISCLOSURE,R005,B0,B2>B1>B0,3,2026172310,8,128,2382,2026-07-23T14:07:58.756Z,2026-07-23T14:07:58.857Z,402.130544000,101.490367000,100.261708000,0.783244000,0.832544000,0.852980000,0.782546000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,5131,0,0,0,0,0,0,5131,0,128,0,0,0,0,0,0,0,492f77797a39b0a45173455acedda4e67061884b9d5010f7c4ade5c2072c8e44,true,0,true
route-c-hie-overhead-001,working-branch-pre-v2.2.0,retained,W1-HIE-DISCLOSURE,R006,B1,B1>B2>B0,1,2026172311,8,128,2383,2026-07-23T14:07:59.164Z,2026-07-23T14:07:59.544Z,686.939311000,380.261855000,354.618372000,2.753799000,2.880155000,3.081069000,0.798024000,1.949195000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,5131,11858,0,0,0,0,0,16989,0,128,0,0,0,0,0,0,0,492f77797a39b0a45173455acedda4e67061884b9d5010f7c4ade5c2072c8e44,true,0,true
route-c-hie-overhead-001,working-branch-pre-v2.2.0,retained,W1-HIE-DISCLOSURE,R006,B2,B1>B2>B0,2,2026172311,8,128,2384,2026-07-23T14:07:59.851Z,2026-07-23T14:08:01.162Z,1618.767573000,1310.925423000,1277.863401000,9.965734000,10.272434000,11.100040000,0.888148000,2.025688000,1.093003000,0.494445000,1.516315000,1.165248000,2.742808000,5131,11858,3148,4347,330,1180,310,21336,215339,128,0,0,1,1,0,0,0,492f77797a39b0a45173455acedda4e67061884b9d5010f7c4ade5c2072c8e44,true,0,true
route-c-hie-overhead-001,working-branch-pre-v2.2.0,retained,W1-HIE-DISCLOSURE,R006,B0,B1>B2>B0,3,2026172311,8,128,2386,2026-07-23T14:08:01.466Z,2026-07-23T14:08:01.568Z,402.085069000,101.994563000,100.766378000,0.787217000,0.825208000,0.866177000,0.786372000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,5131,0,0,0,0,0,0,5131,0,128,0,0,0,0,0,0,0,492f77797a39b0a45173455acedda4e67061884b9d5010f7c4ade5c2072c8e44,true,0,true
route-c-hie-overhead-001,working-branch-pre-v2.2.0,retained,W1-HIE-DISCLOSURE,R007,B0,B0>B2>B1,1,2026172312,8,128,2387,2026-07-23T14:08:01.868Z,2026-07-23T14:08:01.970Z,401.476213000,101.734668000,100.505739000,0.786550000,0.824986000,0.854896000,0.785756000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,5131,0,0,0,0,0,0,5131,0,128,0,0,0,0,0,0,0,492f77797a39b0a45173455acedda4e67061884b9d5010f7c4ade5c2072c8e44,true,0,true
route-c-hie-overhead-001,working-branch-pre-v2.2.0,retained,W1-HIE-DISCLOSURE,R007,B2,B0>B2>B1,2,2026172312,8,128,2388,2026-07-23T14:08:02.274Z,2026-07-23T14:08:03.574Z,1605.506831000,1300.083645000,1267.232086000,9.896999000,10.191430000,10.439321000,0.880991000,2.023106000,1.091557000,0.493891000,1.513821000,1.163347000,2.716815000,5131,11858,3148,4347,330,1180,310,21336,215339,128,0,0,1,1,0,0,0,492f77797a39b0a45173455acedda4e67061884b9d5010f7c4ade5c2072c8e44,true,0,true
